iter	Passed	Remaining
0	147	147581
1	151	75382
2	153	51007
3	155	38779
4	158	31493
5	160	26548
6	161	22948
7	163	20235
8	164	18080
9	165	16348
10	166	14937
11	167	13751
12	167	12754
13	168	11901
14	169	11158
15	170	10502
16	171	9924
17	172	9408
18	173	8948
19	174	8537
20	175	8163
21	176	7829
22	177	7532
23	178	7259
24	179	6998
25	180	6758
26	181	6534
27	182	6324
28	182	6126
29	183	5944
30	184	5775
31	185	5617
32	186	5467
33	187	5324
34	188	5192
35	189	5066
36	190	4950
37	191	4847
38	192	4745
39	193	4644
40	194	4549
41	195	4458
42	196	4368
43	197	4284
44	198	4202
45	198	4124
46	199	4049
47	200	3977
48	201	3907
49	202	3841
50	203	3777
51	203	3716
52	204	3656
53	205	3602
54	206	3553
55	207	3504
56	208	3453
57	209	3404
58	210	3357
59	211	3311
60	212	3264
61	212	3220
62	213	3177
63	214	3135
64	215	3094
65	215	3054
66	216	3016
67	217	2979
68	218	2944
69	219	2909
70	219	2877
71	221	2850
72	222	2821
73	223	2791
74	224	2762
75	224	2734
76	225	2705
77	226	2676
78	227	2649
79	228	2623
80	229	2598
81	229	2574
82	230	2545
83	231	2522
84	232	2498
85	232	2475
86	233	2452
87	234	2429
88	235	2409
89	236	2390
90	237	2370
91	238	2351
92	239	2332
93	240	2313
94	240	2293
95	241	2274
96	242	2255
97	243	2236
98	243	2218
99	244	2200
100	245	2183
101	246	2165
102	246	2148
103	247	2132
104	248	2115
105	249	2100
106	249	2085
107	251	2073
108	251	2059
109	252	2046
110	253	2031
111	254	2016
112	255	2002
113	255	1988
114	256	1975
115	257	1961
116	258	1947
117	258	1934
118	259	1922
119	260	1909
120	261	1896
121	261	1882
122	262	1870
123	263	1859
124	264	1848
125	264	1837
126	265	1825
127	266	1816
128	267	1805
129	268	1795
130	268	1784
131	269	1773
132	270	1763
133	271	1753
134	272	1742
135	272	1732
136	273	1722
137	274	1712
138	274	1702
139	275	1693
140	276	1684
141	277	1673
142	277	1665
143	278	1656
144	279	1647
145	280	1639
146	281	1632
147	282	1624
148	283	1616
149	283	1608
150	284	1600
151	285	1591
152	286	1583
153	286	1575
154	287	1567
155	288	1559
156	289	1552
157	289	1544
158	290	1536
159	291	1529
160	291	1520
161	292	1513
162	293	1506
163	294	1499
164	295	1492
165	295	1486
166	296	1480
167	297	1474
168	298	1468
169	299	1462
170	300	1455
171	300	1448
172	301	1442
173	302	1435
174	303	1429
175	303	1422
176	304	1416
177	305	1410
178	306	1404
179	306	1398
180	307	1392
181	308	1386
182	309	1380
183	309	1374
184	310	1369
185	311	1364
186	312	1359
187	313	1354
188	314	1348
189	315	1343
190	315	1337
191	316	1331
192	317	1326
193	318	1321
194	318	1316
195	319	1310
196	320	1305
197	320	1300
198	321	1294
199	322	1289
200	323	1284
201	323	1279
202	324	1275
203	325	1270
204	326	1265
205	327	1261
206	328	1258
207	329	1254
208	330	1250
209	331	1247
210	332	1242
211	333	1238
212	333	1233
213	334	1229
214	335	1224
215	336	1220
216	336	1215
217	337	1211
218	338	1206
219	339	1202
220	339	1197
221	340	1193
222	341	1191
223	342	1187
224	343	1183
225	344	1179
226	345	1175
227	345	1171
228	346	1167
229	347	1163
230	348	1159
231	349	1155
232	349	1151
233	350	1147
234	351	1143
235	352	1139
236	352	1135
237	353	1131
238	354	1128
239	355	1124
240	355	1120
241	356	1117
242	357	1114
243	358	1111
244	359	1108
245	360	1104
246	361	1100
247	361	1096
248	362	1093
249	363	1089
250	363	1086
251	364	1082
252	365	1078
253	366	1075
254	366	1071
255	367	1068
256	368	1065
257	369	1061
258	369	1058
259	370	1055
260	371	1052
261	372	1049
262	373	1046
263	374	1043
264	374	1040
265	375	1036
266	376	1033
267	377	1030
268	377	1027
269	378	1024
270	379	1020
271	380	1017
272	381	1014
273	381	1011
274	382	1008
275	383	1006
276	384	1003
277	385	1000
278	385	997
279	386	994
280	387	992
281	388	990
282	389	987
283	390	984
284	391	981
285	392	978
286	392	975
287	393	972
288	394	970
289	395	967
290	395	964
291	396	961
292	397	958
293	397	955
294	398	952
295	399	949
296	400	947
297	400	944
298	401	941
299	402	939
300	403	937
301	404	935
302	405	932
303	406	929
304	406	927
305	407	924
306	408	921
307	409	918
308	409	916
309	410	913
310	411	911
311	412	908
312	412	905
313	413	903
314	414	901
315	415	898
316	415	896
317	416	893
318	417	891
319	418	888
320	419	886
321	420	884
322	420	881
323	421	879
324	422	877
325	423	874
326	423	872
327	424	869
328	425	867
329	425	864
330	426	862
331	427	860
332	428	857
333	428	855
334	429	852
335	430	850
336	431	848
337	431	846
338	432	844
339	434	842
340	435	840
341	435	838
342	436	836
343	437	833
344	437	831
345	438	829
346	439	827
347	440	824
348	440	822
349	441	820
350	442	817
351	443	815
352	443	813
353	444	811
354	445	809
355	446	806
356	446	804
357	447	802
358	448	801
359	449	799
360	450	797
361	451	795
362	451	792
363	452	790
364	453	788
365	454	786
366	454	784
367	455	782
368	456	780
369	457	778
370	457	776
371	458	774
372	459	772
373	460	770
374	461	768
375	461	766
376	462	765
377	464	763
378	464	761
379	465	760
380	466	758
381	467	756
382	468	754
383	469	752
384	469	750
385	470	748
386	471	746
387	472	744
388	472	742
389	473	740
390	474	738
391	475	737
392	475	735
393	476	733
394	477	731
395	478	730
396	479	728
397	480	727
398	481	725
399	482	723
400	483	721
401	483	719
402	484	717
403	485	716
404	486	714
405	486	712
406	487	710
407	488	708
408	489	706
409	489	704
410	490	703
411	491	701
412	492	699
413	492	697
414	493	696
415	494	694
416	495	693
417	496	691
418	497	690
419	498	688
420	499	686
421	499	684
422	500	682
423	501	681
424	502	679
425	502	677
426	503	675
427	504	674
428	505	672
429	505	670
430	506	668
431	507	667
432	508	665
433	509	663
434	509	662
435	510	660
436	511	659
437	512	657
438	513	655
439	513	654
440	514	652
441	515	650
442	516	648
443	516	647
444	517	645
445	518	643
446	519	642
447	519	640
448	520	639
449	521	637
450	522	635
451	523	634
452	523	632
453	524	631
454	525	629
455	526	628
456	527	626
457	528	624
458	528	623
459	529	621
460	530	620
461	531	618
462	531	616
463	532	615
464	533	613
465	534	612
466	534	610
467	535	608
468	536	607
469	537	605
470	537	604
471	538	602
472	539	601
473	540	599
474	541	598
475	542	596
476	543	595
477	543	593
478	544	592
479	545	590
480	546	589
481	546	587
482	547	586
483	548	584
484	549	583
485	549	581
486	550	580
487	551	578
488	552	577
489	553	575
490	553	574
491	554	572
492	555	571
493	556	570
494	557	568
495	558	567
496	558	565
497	559	564
498	560	562
499	561	561
500	562	559
501	562	558
502	563	556
503	564	555
504	565	554
505	565	552
506	566	551
507	567	549
508	568	548
509	568	546
510	569	545
511	570	543
512	571	542
513	572	541
514	572	539
515	573	538
516	574	536
517	575	535
518	575	533
519	576	532
520	577	530
521	578	529
522	578	527
523	579	526
524	580	524
525	581	523
526	581	522
527	582	520
528	583	519
529	584	517
530	584	516
531	586	515
532	587	514
533	588	513
534	588	511
535	589	510
536	590	508
537	591	507
538	592	506
539	593	505
540	593	503
541	594	502
542	595	501
543	596	500
544	597	498
545	598	497
546	599	496
547	600	495
548	601	494
549	603	493
550	604	492
551	605	491
552	606	490
553	607	489
554	608	487
555	609	486
556	610	485
557	611	484
558	611	482
559	612	481
560	613	480
561	614	478
562	615	477
563	616	476
564	617	475
565	618	474
566	619	473
567	620	472
568	621	470
569	622	469
570	623	468
